User_ID,Vehicle_Model,Battery_Capacity_kWh,Charging_Station_ID,Charging_Station_Location,Energy_Consumed_kWh,Charging_Duration_Hours,Charging_Rate_kW,Charging_Cost_USD,Time_of_Day,Day_of_Week,State_of_Charge_Start_%,State_of_Charge_End_%,Distance_Driven_km,Temperature_C,Vehicle_Age_years,Charger_Type,User_Type
U1000,Tesla Model Y,75.0,CS972,Highway,16.56,2.62,6.34,2.77,Evening,Saturday,62.7,84.2,33.7,12.4,2,Level 2,Commuter
U1001,Chevy Bolt EV,65.0,CS684,Workplace,48.42,16.0,3.07,6.94,Night,Monday,10.5,83.3,11.3,14.2,4,Level 1,Casual Driver
U1002,Nissan Leaf,40.0,CS441,Home,19.57,6.34,3.04,2.05,Evening,Tuesday,32.1,79.8,23.7,13.6,7,Level 1,Commuter
U1003,Tesla Model Y,75.0,CS504,Highway,45.68,6.91,6.6,8.6,Afternoon,Thursday,22.6,80.4,28.4,7.3,1,Level 2,Commuter
U1004,Tesla Model Y,75.0,CS508,Home,46.97,1.19,44.74,13.26,Night,Thursday,21.5,82.8,99.7,14.5,6,DC Fast,Long-Distance Traveler
U1005,Nissan Leaf,40.0,CS737,Home,27.71,0.62,44.17,8.31,Night,Saturday,31.0,95.6,54.2,3.3,3,DC Fast,Long-Distance Traveler
U1006,Tesla Model Y,75.0,CS373,Home,56.6,1.16,49.48,18.37,Night,Wednesday,8.0,83.3,45.0,19.4,4,DC Fast,Casual Driver
U1007,Audi e-tron,95.0,CS202,Workplace,45.41,0.87,47.11,17.22,Morning,Thursday,34.3,79.4,14.8,6.0,1,DC Fast,Commuter
U1008,Kia EV6,77.4,CS269,Home,48.11,6.75,7.19,9.85,Morning,Saturday,17.4,78.5,22.9,24.3,2,Level 2,Commuter
U1009,Tesla Model X,100.0,CS927,Public,62.11,1.31,47.45,20.34,Afternoon,Friday,22.3,80.8,109.1,5.6,2,DC Fast,Commuter
U1010,BMW i3,42.2,CS611,Highway,19.52,0.44,46.18,5.35,Night,Wednesday,41.4,84.5,15.5,2.9,2,DC Fast,Commuter
U1011,Tesla Model Y,75.0,CS268,Workplace,32.64,5.47,6.47,7.15,Night,Saturday,56.4,99.3,124.0,23.4,5,Level 2,Casual Driver
