battery_capacity_kwh,charger_power_kw,initial_soc_pct,target_soc_pct,charging_time_hours,energy_required_kwh,temperature_c,battery_age_cycles,vehicle_weight_kg,hour_of_day,estimated_cost_inr,vehicle_model,charger_type,user_type,day_of_week
75.0,6.34,62.7,84.2,2.62,16.56,12.4,400,1979.0,19,132.48,Tesla Model Y,Level 2,Commuter,Saturday
65.0,3.07,10.5,83.3,16.0,48.42,14.2,800,1800.0,23,387.36,Chevy Bolt EV,Level 1,Casual Driver,Monday
40.0,3.04,32.1,79.8,6.34,19.57,13.6,1400,1598.0,19,156.56,Nissan Leaf,Level 1,Commuter,Tuesday
75.0,6.6,22.6,80.4,6.91,45.68,7.3,200,1979.0,14,365.44,Tesla Model Y,Level 2,Commuter,Thursday
75.0,44.74,21.5,82.8,1.19,46.97,14.5,1200,1979.0,23,375.76,Tesla Model Y,DC Fast,Long-Distance Traveler,Thursday
40.0,44.17,31.0,95.6,0.62,27.71,3.3,600,1598.0,23,221.68,Nissan Leaf,DC Fast,Long-Distance Traveler,Saturday
75.0,49.48,8.0,83.3,1.16,56.6,19.4,800,1979.0,23,452.8,Tesla Model Y,DC Fast,Casual Driver,Wednesday
95.0,47.11,34.3,79.4,0.87,45.41,6.0,200,2585.0,8,363.28,Audi e-tron,DC Fast,Commuter,Thursday
77.4,7.19,17.4,78.5,6.75,48.11,24.3,400,1960.0,8,384.88,Kia EV6,Level 2,Commuter,Saturday
100.0,47.45,22.3,80.8,1.31,62.11,5.6,400,2509.0,14,496.88,Tesla Model X,DC Fast,Commuter,Friday
42.2,46.18,41.4,84.5,0.44,19.52,2.9,400,1195.0,23,156.16,BMW i3,DC Fast,Commuter,Wednesday
75.0,6.47,56.4,99.3,5.47,32.64,23.4,1000,1979.0,23,261.12,Tesla Model Y,Level 2,Casual Driver,Saturday
75.0,49.09,45.4,93.2,0.86,37.61,8.6,1200,1979.0,19,300.88,Tesla Model Y,DC Fast,Long-Distance Traveler,Wednesday
72.6,3.02,23.8,82.3,14.73,44.21,29.6,1000,1800.0,19,353.68,Hyundai Ioniq 5,Level 1,Casual Driver,Sunday
75.0,3.15,15.7,83.4,16.65,51.82,15.1,1500,1844.0,23,414.56,Tesla Model 3,Level 1,Commuter,Monday
75.0,6.83,30.3,81.0,5.89,40.43,4.9,200,1844.0,14,323.44,Tesla Model 3,Level 2,Long-Distance Traveler,Tuesday
75.0,6.6,34.5,97.5,7.7,47.81,22.9,400,1844.0,23,382.48,Tesla Model 3,Level 2,Long-Distance Traveler,Sunday
95.0,49.17,47.4,81.0,0.75,33.1,11.4,1000,2585.0,19,264.8,Audi e-tron,DC Fast,Commuter,Friday
65.0,7.11,19.5,84.6,6.04,42.78,17.1,600,1800.0,23,342.24,Chevy Bolt EV,Level 2,Casual Driver,Friday
95.0,3.28,46.8,91.3,14.38,45.56,2.1,600,2585.0,23,364.48,Audi e-tron,Level 1,Long-Distance Traveler,Thursday
77.4,6.48,43.3,99.7,7.34,44.62,25.7,200,1960.0,23,356.96,Kia EV6,Level 2,Long-Distance Traveler,Saturday
42.2,7.02,12.1,81.7,4.32,29.85,15.9,600,1195.0,23,238.8,BMW i3,Level 2,Commuter,Friday
75.0,6.9,42.0,93.8,6.11,40.46,29.8,1000,1979.0,23,323.68,Tesla Model Y,Level 2,Commuter,Tuesday
